Reading,Load [N],Travel [mm],Time
817,-0.2,-40.5,36.025
818,-0.2,-40.52,36.04
819,-0.2,-40.58,36.1
820,-0.2,-40.6,36.12
821,-0.2,-40.68,36.18
822,-0.2,-40.7,36.2
823,-0.3,-40.8,36.3
824,-0.1,-40.84,36.32
825,-0.3,-40.94,36.405
826,-0.3,-40.96,36.42
827,-0.4,-41.04,36.481
828,-0.4,-41.06,36.501
829,-0.4,-41.14,36.56
830,-0.4,-41.14,36.58
831,-0.4,-41.22,36.63
832,-0.4,-41.24,36.644
833,-0.3,-41.3,36.7
834,-0.3,-41.32,36.72
835,-0.3,-41.36,36.78
836,-0.3,-41.4,36.8
837,-0.3,-41.46,36.861
838,-0.3,-41.5,36.88
839,-0.3,-41.56,36.94
840,-0.4,-41.6,36.96
841,-0.4,-41.64,37.006
842,-0.4,-41.68,37.02
843,-0.4,-41.72,37.061
844,-0.4,-41.74,37.08
845,-0.4,-41.84,37.167
846,-0.4,-41.84,37.186
847,-0.4,-41.98,37.286
848,-0.4,-42,37.302
849,-0.4,-42.12,37.405
850,-0.4,-42.12,37.422
851,-0.3,-42.24,37.508
852,-0.4,-42.26,37.528
853,-0.3,-42.34,37.6
854,-0.3,-42.36,37.62
855,-0.4,-42.46,37.701
856,-0.4,-42.48,37.72
857,-0.4,-42.58,37.8
858,-0.4,-42.58,37.82
859,-0.3,-42.68,37.901
860,-0.3,-42.72,37.921
861,-0.3,-42.78,37.98
862,-0.3,-42.78,38.001
863,-0.3,-42.9,38.08
864,-0.3,-42.92,38.101
865,-0.4,-43.02,38.181
866,-0.4,-43.04,38.2
867,-0.4,-43.14,38.28
868,-0.4,-43.16,38.3
869,-0.4,-43.24,38.38
870,-0.4,-43.28,38.4
871,-0.4,-43.34,38.465
872,-0.4,-43.38,38.482
873,-0.4,-43.42,38.54
874,-0.4,-43.44,38.56
875,-0.4,-43.52,38.61
876,-0.4,-43.52,38.626
877,-0.4,-43.6,38.687
878,-0.4,-43.62,38.702
879,-0.4,-43.68,38.744
880,-0.4,-43.68,38.76
881,-0.4,-43.76,38.82
882,-0.3,-43.78,38.84
883,-0.4,-43.86,38.9
884,-0.4,-43.86,38.92
885,-0.4,-43.94,38.98
886,-0.4,-43.96,39
887,-0.4,-44.04,39.061
888,-0.4,-44.06,39.08
889,-0.4,-44.18,39.181
890,-0.4,-44.22,39.2
891,-0.4,-44.32,39.3
892,-0.4,-44.34,39.32
893,-0.4,-44.44,39.4
