Reading,Load [N],Travel [mm],Time
1821,0.2,-35.94,92.924
1822,0.2,-35.94,93.005
1823,0.2,-35.94,93.024
1824,0.2,-35.94,93.106
1825,0.2,-35.94,93.126
1826,0.2,-35.94,93.22
1827,0.2,-35.94,93.24
1828,0.2,-35.94,93.322
1829,0.2,-35.94,93.342
1830,0.2,-35.94,93.466
1831,0.2,-35.94,93.486
1832,0.2,-35.94,93.566
1833,0.2,-35.94,93.586
1834,0.2,-35.94,93.68
1835,0.2,-35.94,93.7
1836,0.2,-35.94,93.789
1837,0.2,-35.94,93.809
1838,0.2,-35.94,93.9
1839,0.2,-35.94,93.92
1840,0.2,-35.94,93.988
1841,0.2,-35.94,94.006
1842,0.2,-35.94,94.081
1843,0.2,-35.94,94.1
1844,0.2,-35.94,94.167
1845,0.2,-35.94,94.183
1846,0.2,-35.94,94.26
1847,0.2,-35.94,94.28
1848,0.2,-35.94,94.386
1849,0.2,-35.94,94.421
1850,0.2,-35.94,94.56
1851,0.2,-35.94,94.585
1852,0.2,-35.94,94.7
1853,0.2,-35.94,94.722
1854,0.2,-35.94,94.84
1855,0.2,-35.94,94.864
1856,0.2,-35.94,94.98
1857,0.2,-35.94,95.002
1858,0.2,-35.94,95.102
1859,0.2,-35.94,95.125
1860,0.2,-35.94,95.24
1861,0.2,-35.94,95.264
1862,0.2,-35.94,95.369
1863,0.2,-35.94,95.401
1864,0.2,-35.94,95.54
1865,0.2,-35.94,95.562
1866,0.3,-35.94,95.64
1867,0.2,-35.94,95.66
1868,0.2,-35.94,95.803
1869,0.2,-35.94,95.84
1870,0.2,-35.94,95.985
1871,0.2,-35.94,96.006
1872,0.2,-35.94,96.081
1873,0.2,-35.94,96.102
1874,0.2,-35.94,96.164
1875,0.2,-35.94,96.18
1876,0.2,-35.94,96.244
1877,0.2,-35.94,96.261
1878,0.2,-35.94,96.307
1879,0.2,-35.94,96.322
1880,0.2,-35.94,96.38
1881,0.2,-35.94,96.401
1882,0.2,-35.94,96.444
1883,0.2,-35.94,96.46
1884,0.2,-35.94,96.508
1885,0.2,-35.94,96.524
1886,0.2,-35.94,96.581
1887,0.2,-35.94,96.6
1888,0.2,-35.94,96.65
1889,0.2,-35.94,96.666
1890,0.2,-35.94,96.72
1891,0.2,-35.94,96.74
1892,0.2,-35.94,96.787
1893,0.2,-35.94,96.802
1894,0.2,-35.94,96.86
1895,0.2,-35.94,96.88
1896,0.2,-35.94,96.961
1897,0.2,-35.94,96.986
1898,0.2,-35.94,97.08
1899,0.2,-35.94,97.1
1900,0.2,-35.94,97.165
1901,0.2,-35.94,97.182
1902,0.2,-35.94,97.26
1903,0.2,-35.94,97.28
1904,0.2,-35.94,97.36
1905,0.2,-35.94,97.384
1906,0.2,-35.94,97.5
1907,0.2,-35.94,97.524
1908,0.2,-35.94,97.64
1909,0.2,-35.94,97.664
1910,0.2,-35.94,97.78
1911,0.2,-35.94,97.804
1912,0.2,-35.94,97.92
1913,0.2,-35.94,97.946
1914,0.2,-35.94,98.062
1915,0.2,-35.94,98.085
1916,0.2,-35.94,98.208
1917,0.2,-35.94,98.24
1918,0.2,-35.94,98.403
1919,0.2,-35.94,98.428
1920,0.2,-35.94,98.54
1921,0.2,-35.94,98.565
1922,0.2,-35.94,98.701
1923,0.2,-35.94,98.726
1924,0.2,-35.94,98.847
1925,0.2,-35.94,98.881
1926,0.2,-35.94,99.026
1927,0.2,-35.94,99.06
1928,0.2,-35.94,99.144
1929,0.2,-35.94,99.164
1930,0.2,-35.94,99.24
1931,0.2,-35.94,99.261
1932,0.2,-35.94,99.38
1933,0.2,-35.94,99.4
1934,0.2,-35.94,99.486
1935,0.2,-35.94,99.503
1936,0.2,-35.94,99.58
1937,0.2,-35.94,99.6
1938,0.2,-35.94,99.665
1939,0.2,-35.94,99.683
1940,0.2,-35.94,99.74
1941,0.2,-35.94,99.761
1942,0.2,-35.94,99.861
1943,0.2,-35.94,99.881
1944,0.2,-35.94,99.966
1945,0.2,-35.94,99.986
1946,0.2,-35.94,100.08
