Reading,Load [N],Travel [mm],Time
889,-0.3,-40.3,35.899
890,-0.3,-40.38,35.979
891,-0.3,-40.4,35.999
892,-0.2,-40.5,36.079
893,-0.2,-40.52,36.099
894,-0.2,-40.62,36.179
895,-0.3,-40.66,36.199
896,-0.2,-40.74,36.279
897,-0.3,-40.76,36.299
898,-0.3,-40.84,36.359
899,-0.3,-40.86,36.379
900,-0.3,-40.94,36.459
901,-0.3,-40.98,36.479
902,-0.3,-41.06,36.559
903,-0.3,-41.08,36.579
904,-0.3,-41.18,36.648
905,-0.3,-41.18,36.663
906,-0.3,-41.26,36.727
907,-0.3,-41.3,36.743
908,-0.4,-41.36,36.823
909,-0.3,-41.4,36.839
910,-0.3,-41.46,36.899
911,-0.3,-41.5,36.919
912,-0.4,-41.56,36.999
913,-0.4,-41.6,37.019
914,-0.4,-41.7,37.099
915,-0.4,-41.72,37.119
916,-0.9,-41.74,37.199
917,-1,-41.74,37.219
918,-0.9,-41.74,37.299
919,-1,-41.74,37.32
920,-0.9,-41.74,37.399
921,-0.9,-41.74,37.419
922,-0.9,-41.74,37.499
923,-0.9,-41.74,37.519
924,-0.9,-41.74,37.583
925,-0.9,-41.74,37.599
926,-0.9,-41.74,37.66
927,-0.9,-41.74,37.679
928,-0.9,-41.74,37.746
929,-0.9,-41.74,37.762
930,-0.9,-41.74,37.825
931,-0.9,-41.74,37.841
932,-0.9,-41.74,37.899
933,-0.9,-41.74,37.919
934,-0.9,-41.74,37.968
935,-0.9,-41.74,37.983
936,-0.9,-41.74,38.039
937,-0.9,-41.74,38.059
938,-0.9,-41.74,38.108
939,-0.9,-41.74,38.122
940,-0.9,-41.74,38.165
941,-0.9,-41.74,38.179
942,-0.9,-41.74,38.24
943,-0.9,-41.74,38.26
944,-0.9,-41.74,38.32
945,-0.9,-41.74,38.339
946,-0.9,-41.74,38.399
947,-0.9,-41.74,38.419
948,-0.9,-41.74,38.539
949,-0.9,-41.74,38.559
950,-0.9,-41.74,38.64
951,-0.9,-41.74,38.659
952,-0.9,-41.74,38.739
953,-0.9,-41.74,38.76
954,-0.9,-41.74,38.807
955,-0.9,-41.74,38.822
956,-0.9,-41.74,38.88
957,-0.9,-41.74,38.899
958,-0.9,-41.74,38.96
959,-0.9,-41.74,38.98
960,-0.9,-41.74,39.039
961,-0.9,-41.74,39.059
962,-0.9,-41.74,39.119
963,-0.9,-41.74,39.139
964,-0.9,-41.74,39.207
